X,Y,O,44:25:2C:54:32:F9,49:29:6D:6C:49:9F,5c:83:8f:bc:40:10,5c:83:8f:bc:40:13,5c:83:8f:bc:40:15,5c:83:8f:bc:40:16,5c:83:8f:bc:40:17,5c:83:8f:bc:40:18,5c:83:8f:f2:e3:60,5c:83:8f:f2:e3:63,5c:83:8f:f2:e3:65,5c:83:8f:f2:e3:66,5c:83:8f:f2:e3:67,5c:83:8f:f2:e3:68,5c:83:8f:f2:e3:69,5c:83:8f:f2:e3:6a,5c:83:8f:f2:e3:6c,5c:83:8f:f2:e3:6f,7A:06:A9:3F:24:3C,c8:f9:f9:72:c8:f0,c8:f9:f9:72:c8:f3,c8:f9:f9:72:c8:f4,c8:f9:f9:72:c8:f5,c8:f9:f9:72:c8:f6,c8:f9:f9:72:e7:80,c8:f9:f9:72:e7:83,c8:f9:f9:72:e7:84,c8:f9:f9:72:e7:85,c8:f9:f9:72:e7:86,c8:f9:f9:72:e7:89,c8:f9:f9:72:e7:8a,c8:f9:f9:72:e7:8b,c8:f9:f9:72:e7:8c,c8:f9:f9:72:e7:8f,c8:f9:f9:72:eb:50,c8:f9:f9:72:eb:53,c8:f9:f9:72:eb:54,c8:f9:f9:72:eb:55,c8:f9:f9:72:eb:56,c8:f9:f9:73:36:20,c8:f9:f9:73:36:25,c8:f9:f9:73:36:28,c8:f9:f9:73:38:b0,c8:f9:f9:73:38:b3,c8:f9:f9:73:38:b4,c8:f9:f9:73:38:b5,c8:f9:f9:73:38:b6,c8:f9:f9:88:23:20,c8:f9:f9:88:23:24,c8:f9:f9:88:23:25,c8:f9:f9:88:39:10,c8:f9:f9:88:39:13,c8:f9:f9:88:39:14,c8:f9:f9:88:39:15,c8:f9:f9:88:39:16,c8:f9:f9:88:39:19,c8:f9:f9:88:39:1a,c8:f9:f9:88:39:1b,c8:f9:f9:88:39:1c,c8:f9:f9:88:39:1f,c8:f9:f9:88:8b:60,c8:f9:f9:88:8b:63,c8:f9:f9:88:8b:64,c8:f9:f9:88:8b:65,c8:f9:f9:88:8b:66,c8:f9:f9:88:8b:69,c8:f9:f9:88:8b:6a,c8:f9:f9:88:8b:6c,fc:5b:39:b0:4e:bf,magX,magY,magZ,Ori
0.8,1.35,0,-66,-83,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-80,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-11.7111206054688,-41.8075561523438,20.95947265625,165.81868
0.8,1.35,0,-84,-81,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-81,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-6.7718505859375,-49.200439453125,-6.2774658203125,165.74626
0.8,1.35,0,-83,-82,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-64,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-2.61688232421875,-49.7512817382813,-8.6944580078125,165.82904
0.8,1.35,0,-86,-99,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-71,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-13.494873046875,-45.8938598632813,-10.5026245117188,166.17061
0.8,1.35,0,-85,-102,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-70,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-10.0692749023438,-47.6470947265625,-10.7254028320313,166.19505
0.8,1.35,90,-73,-90,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-70,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,-10.0692749023438,-47.6470947265625,-10.7254028320313,252.95346
0.8,1.35,90,-94,-74,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-72,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,42.2012329101563,-22.98583984375,-22.9598999023437,252.57664
0.8,1.35,90,-76,-92,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-71,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,41.973876953125,-24.6871948242187,-20.9518432617187,251.88846
0.8,1.35,90,-77,-72,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-66,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,34.6084594726562,-34.942626953125,-15.2816772460938,251.94611
0.8,1.35,90,-76,-91,-110,-110,-110,-110,-110,-110,-110,-75,-110,-76,-76,-76,-110,-110,-110,-110,-86,-110,-110,-110,-110,-110,-68,-110,-68,-68,-68,-69,-68,-69,-69,-69,-110,-110,-110,-110,-110,-110,-110,-110,-110,-78,-110,-110,-110,-110,-110,-110,-66,-67,-67,-68,-68,-110,-110,-110,-81,-110,-110,-110,-110,-76,-75,-110,-110,-110,-110,35.1913452148437,-41.00341796875,-2.94952392578125,252.45618
